days,dollar_rate
1240,"6,27"
1241,"6,27"
1242,"6,23"
1243,"6,12"
1244,"6,12"
1245,"6,08"
1246,"5,99"
1247,"5,97"
1248,"6,01"
1249,"6,03"
1250,"6,12"
1251,"6,15"
1252,"6,15"
1253,"6,12"
1254,"6,09"
1255,"5,98"
1256,"5,90"
1257,"5,81"
1258,"5,78"
1259,"5,68"
1260,"5,55"
1261,"5,61"
1262,"5,65"
1263,"5,77"
1264,"5,72"
1265,"5,68"
1266,"5,62"
1267,"5,52"
1268,"5,50"
1269,"5,57"
1270,"5,46"
1271,"5,45"
1272,"5,34"
1273,"5,36"
1274,"5,41"
1275,"5,48"
1276,"5,48"
1277,"5,48"
1278,"5,46"
1279,"5,42"
1280,"5,34"
1281,"5,32"
1282,"5,33"
1283,"5,35"
1284,"5,30"
1285,"5,28"
1286,"5,24"
1287,"5,24"
1288,"5,25"
1289,"5,16"
1290,"5,16"
1291,"5,19"
1292,"5,27"
1293,"5,37"
1294,"5,36"
1295,"5,33"
1296,"5,28"
1297,"5,35"
1298,"5,36"
1299,"5,36"
1300,"5,37"
1301,"5,38"
1302,"5,35"
1303,"5,33"
1304,"5,26"
1305,"5,27"
1306,"5,29"
1307,"5,30"
1308,"5,28"
1309,"5,29"
1310,"5,26"
1311,"5,28"
1312,"5,33"
1313,"5,46"
1314,"5,41"
1315,"5,36"
1316,"5,43"
1317,"5,50"
1318,"5,46"
1319,"5,42"
1320,"5,51"
1321,"5,44"
1322,"5,40"
1323,"5,36"
1324,"5,34"
1325,"5,34"
1326,"5,35"
1327,"5,31"
1328,"5,27"
1329,"5,26"
1330,"5,28"
1331,"5,33"
1332,"5,28"
1333,"5,21"
1334,"5,19"
1335,"5,22"
1336,"5,20"
1337,"5,21"
1338,"5,24"
1339,"5,24"
1340,"5,26"
1341,"5,26"
1342,"5,24"
1343,"5,29"
1344,"5,26"
1345,"5,29"
1346,"5,31"
1347,"5,30"
1348,"5,31"
1349,"5,32"
1350,"5,31"
1351,"5,29"
1352,"5,29"
1353,"5,32"
1354,"5,34"
1355,"5,38"
1356,"5,37"
1357,"5,38"
1358,"5,43"
1359,"5,45"
1360,"5,43"
1361,"5,44"
1362,"5,45"
1363,"5,46"
1364,"5,46"
1365,"5,45"
1366,"5,46"
1367,"5,47"
1368,"5,44"
1369,"5,53"
1370,"5,65"
1371,"5,49"
1372,"5,33"
1373,"5,54"
1374,"5,63"
1375,"5,60"
1376,"5,56"
1377,"5,61"
1378,"5,63"
1379,"5,59"
1380,"5,67"
1381,"5,66"
1382,"5,67"
1383,"5,71"
1384,"5,78"
1385,"5,79"
1386,"5,79"
1387,"5,74"
1388,"5,81"
1389,"5,79"
1390,"5,83"
1391,"5,86"
1392,"5,89"
1393,"5,92"
1394,"5,93"
1395,"5,96"
1396,"5,96"
1397,"5,96"
1398,"5,99"
1399,"6,15"
1400,"6,16"
1401,"6,20"
1402,"6,11"
1403,"6,08"
1404,"6,04"
1405,"6,05"
1406,"6,00"
1407,"6,05"
1408,"6,04"
1409,"6,04"
1410,"6,08"
1411,"6,13"
1412,"6,07"
1413,"6,05"
1414,"6,04"
1415,"6,02"
1416,"5,92"
1417,"5,86"
1418,"5,86"
1419,"5,84"
1420,"5,81"
1421,"5,78"
1422,"5,80"
1423,"5,83"
1424,"5,88"
1425,"5,87"
1426,"5,84"
1427,"5,85"
1428,"5,73"
1429,"5,79"
1430,"5,74"
1431,"5,79"
1432,"5,76"
1433,"5,77"
1434,"5,76"
1435,"5,68"
1436,"5,67"
1437,"5,63"
1438,"5,59"
1439,"5,60"
1440,"5,72"
1441,"5,71"
1442,"5,74"
1443,"5,67"
1444,"5,69"
1445,"5,70"
1446,"5,69"
1447,"5,69"
1448,"5,63"
1449,"5,67"
1450,"5,68"
1451,"5,71"
1452,"5,70"
1453,"5,66"
1454,"5,63"
1455,"5,57"
1456,"5,52"
1457,"5,58"
1458,"5,58"
1459,"5,56"
1460,"5,53"
1461,"5,49"
1462,"5,47"
1463,"5,48"
1464,"5,57"
1465,"5,54"
1466,"5,58"
1467,"5,70"
1468,"5,71"
1469,"5,75"
1470,"5,75"
1471,"5,80"
1472,"5,83"
1473,"5,80"
1474,"5,81"
1475,"5,80"
1476,"5,77"
1477,"5,67"
1478,"5,67"
1479,"5,69"
1480,"5,72"
1481,"5,76"
1482,"5,77"
1483,"5,73"
1484,"5,67"
1485,"5,71"
1486,"5,72"
1487,"5,68"
1488,"5,69"
1489,"5,69"
1490,"5,72"
1491,"5,67"
1492,"5,69"
1493,"5,67"
1494,"5,66"
1495,"5,64"
1496,"5,68"
1497,"5,73"
1498,"5,69"
1499,"5,69"
1500,"5,73"
1501,"5,82"
1502,"5,83"
1503,"5,87"
1504,"5,84"
1505,"5,91"
1506,"5,89"
1507,"5,89"
1508,"5,88"
1509,"5,77"
1510,"5,81"
1511,"5,83"
1512,"5,77"
1513,"5,74"
1514,"5,76"
1515,"5,76"
1516,"5,74"
1517,"5,71"
1518,"5,72"
1519,"5,68"
1520,"5,73"
1521,"5,75"
1522,"5,74"
1523,"5,74"
1524,"5,77"
1525,"5,77"
1526,"5,76"
1527,"5,76"
1528,"5,75"
1529,"5,73"
1530,"5,72"
1531,"5,70"
1532,"5,69"
1533,"5,69"
1534,"5,72"
1535,"5,74"
1536,"5,75"
1537,"5,76"
1538,"5,74"
1539,"5,74"
1540,"5,74"
1541,"5,74"
1542,"5,75"
1543,"5,75"
1544,"5,79"
1545,"5,80"
1546,"5,80"
1547,"5,79"
1548,"5,77"
1549,"5,83"
1550,"5,86"
1551,"5,90"
1552,"5,93"
1553,"5,91"
1554,"5,93"
1555,"5,94"
1556,"5,93"
1557,"5,93"
1558,"5,94"
1559,"5,94"
1560,"5,94"
1561,"5,95"
1562,"5,96"
1563,"5,97"
1564,"5,96"
1565,"5,96"
1566,"5,88"
1567,"5,87"
1568,"5,85"
1569,"5,88"
1570,"5,88"
1571,"5,87"
1572,"5,86"
1573,"5,90"
1574,"5,92"
1575,"5,93"
1576,"5,92"
1577,"5,93"
1578,"5,94"
1579,"5,93"
1580,"5,94"
1581,"5,97"
1582,"5,97"
1583,"5,98"
1584,"5,97"
1585,"5,98"
1586,"5,98"
1587,"5,98"
1588,"6,00"
1589,"6,03"
1590,"6,02"
1591,"6,05"
1592,"6,05"
1593,"6,04"
1594,"6,06"
1595,"6,06"
1596,"6,08"
1597,"6,10"
1598,"6,14"
1599,"6,12"
1600,"6,15"
1601,"6,16"
1602,"6,23"
1603,"6,22"
1604,"6,19"
1605,"6,09"
1606,"6,08"
1607,"6,08"
1608,"6,11"
1609,"6,12"
1610,"6,15"
1611,"6,23"
1612,"6,27"
1613,"6,36"
1614,"6,45"
1615,"6,45"
1616,"6,52"
1617,"6,48"
1618,"6,59"
1619,"6,49"
1620,"6,40"
1621,"6,46"
1622,"6,43"
1623,"6,52"
1624,"6,57"
1625,"6,64"
1626,"6,67"
1627,"6,69"
1628,"6,75"
1629,"6,74"
1630,"6,77"
1631,"6,74"
1632,"6,69"
1633,"6,76"
1634,"6,78"
1635,"6,85"
1636,"6,91"
1637,"6,91"
1638,"6,91"
1639,"6,96"
1640,"6,97"
1641,"6,96"
1642,"6,97"
1643,"6,99"
1644,"6,98"
1645,"6,97"
1646,"7,02"
1647,"7,06"
1648,"7,13"
1649,"7,22"
1650,"7,10"
1651,"7,07"
1652,"7,01"
1653,"6,98"
1654,"6,95"
1655,"6,90"
1656,"6,86"
1657,"6,78"
1658,"6,79"
1659,"6,79"
1660,"6,76"
